frame,track_id,class_id,confidence,xmin,ymin,xmax,ymax
0,1.0,3,0.8789,665.56,463.78,813.79,767.42
0,2.0,4,0.4697,1831.57,149.22,1919.87,1059.70
0,3.0,4,0.2512,1616.00,504.27,1919.93,1077.62
1,1.0,3,0.8787,666.04,463.85,814.22,767.35
1,2.0,4,0.4615,1831.51,146.38,1920.00,1060.22
1,3.0,4,0.2491,1616.75,506.62,1919.43,1077.58
2,1.0,3,0.8780,666.26,463.69,814.71,767.64
2,2.0,4,0.4579,1831.69,150.53,1919.97,1060.93
2,3.0,4,0.2597,1616.57,505.33,1919.92,1077.58
3,1.0,3,0.8776,666.33,463.38,815.01,767.68
3,2.0,4,0.4578,1831.55,150.26,1919.89,1061.44
3,3.0,4,0.2542,1616.85,505.50,1920.00,1077.60
4,1.0,3,0.8761,666.36,463.23,815.34,767.89
4,2.0,4,0.4555,1831.47,150.37,1919.80,1061.26
4,3.0,4,0.2759,1616.77,504.77,1920.00,1077.59
5,1.0,3,0.8749,666.63,463.17,815.96,768.21
5,2.0,4,0.4615,1831.55,150.63,1919.83,1061.13
5,3.0,4,0.2749,1616.69,504.99,1920.00,1077.63
6,1.0,3,0.8748,666.44,463.01,816.19,768.52
6,2.0,4,0.4630,1831.54,153.14,1919.70,1062.09
6,3.0,4,0.2846,1616.66,505.32,1919.99,1077.64
7,1.0,3,0.8746,666.57,463.01,816.46,768.41
7,2.0,4,0.4602,1831.43,151.46,1919.76,1062.21
7,3.0,4,0.2761,1616.38,504.44,1920.00,1077.62
8,1.0,3,0.8743,666.73,462.97,816.72,768.15
8,2.0,4,0.4663,1831.25,148.45,1919.82,1061.62
8,3.0,4,0.2545,1616.08,503.35,1920.00,1077.63
9,1.0,3,0.8732,666.85,462.91,816.79,767.77
9,2.0,4,0.4679,1831.22,149.43,1919.70,1061.35
9,3.0,4,0.2605,1615.72,501.79,1920.00,1077.62
10,1.0,3,0.8727,667.06,462.99,816.88,767.48
10,2.0,4,0.4680,1831.33,151.09,1919.58,1060.08
10,3.0,4,0.2555,1615.56,501.46,1920.00,1077.62
11,1.0,3,0.8719,667.08,463.10,816.83,767.40
11,2.0,4,0.4665,1831.39,151.40,1919.68,1060.59
11,3.0,4,0.2649,1615.86,502.25,1920.00,1077.55
12,1.0,3,0.8729,666.52,463.20,816.02,767.34
12,2.0,4,0.4629,1831.37,150.80,1919.80,1061.44
12,3.0,4,0.2627,1615.87,501.83,1920.00,1077.48
13,1.0,3,0.8729,666.37,463.14,815.82,767.44
13,2.0,4,0.4611,1831.26,146.40,1920.00,1061.76
13,3.0,4,0.2496,1616.09,502.87,1920.00,1077.47
14,1.0,3,0.8711,666.82,463.15,816.07,767.22
14,2.0,4,0.4660,1831.35,145.85,1920.00,1061.27
14,3.0,4,0.2488,1616.34,503.99,1919.86,1077.49
15,1.0,3,0.8728,666.89,463.09,815.85,767.04
